Year,State,City_Cnt,Raised_Amt
1993,TX,1,125000.0
1999,CA,6,112100000.0
1999,FL,1,60000000.0
1999,NY,1,4410000.0
1999,UT,1,33200000.0
2000,CA,8,284500000.0
2000,DC,1,2650000.0
2000,MA,2,37000000.0
2000,NY,1,28000000.0
2000,PA,1,100000.0
2000,WA,1,7700000.0
2001,CA,5,156200000.0
2001,DC,1,2000000.0
2001,MA,2,45000000.0
2001,NY,1,3000000.0
2001,PA,1,100000.0
2001,VA,1,15000000.0
2001,WA,1,20500000.0
2002,CA,3,28900000.0
2002,CO,1,2100000.0
2002,FL,1,25000000.0
2002,MA,1,6000000.0
2002,NY,1,2800000.0
2002,PA,1,500000.0
2002,TX,1,250000.0
2002,VA,1,20000000.0
2002,WA,1,5000000.0
2003,CA,9,163900000.0
2003,MA,2,19200000.0
2003,NY,1,21300000.0
2003,PA,1,960000.0
2003,WA,1,15500000.0
2004,CA,16,350560000.0
2004,CO,1,10000000.0
2004,CT,1,7000000.0
2004,IL,2,13400000.0
2004,MA,4,63700000.0
2004,NC,1,7000000.0
2004,NY,3,19480000.0
2004,PA,1,6600000.0
2004,TX,1,8500000.0
2004,UT,1,6000000.0
2004,WA,2,47200000.0
2005,CA,26,602076000.0
2005,CT,1,5000000.0
2005,FL,1,2000000.0
2005,GA,1,14000000.0
2005,IL,1,17000000.0
2005,MA,3,93000000.0
2005,MD,1,6000000.0
2005,NC,1,18000000.0
2005,NJ,1,7000000.0
2005,NY,1,86200000.0
2005,OR,1,800000.0
2005,UT,1,3800000.0
2005,VA,2,9100000.0
2005,WA,2,204970000.0
2006,AZ,2,6140000.0
2006,CA,28,1613961000.0
2006,CO,2,16000000.0
2006,CT,2,12600000.0
2006,DC,1,37000000.0
2006,FL,5,14118000.0
2006,GA,1,2200000.0
2006,IA,1,225000.0
2006,IL,1,10000000.0
2006,MA,7,177600000.0
2006,MD,2,22000000.0
2006,ME,1,25000.0
2006,NC,1,6400000.0
2006,NE,1,27400000.0
2006,NJ,2,22000000.0
2006,NM,1,700000.0
2006,NY,5,57465000.0
2006,OR,1,6000000.0
2006,PA,2,9700000.0
2006,TN,1,11500000.0
2006,TX,1,19500000.0
2006,UT,2,12800000.0
2006,VA,2,29000000.0
2006,WA,3,100750000.0
2007,AZ,2,15850000.0
2007,CA,49,3064263000.0
2007,CO,3,51120000.0
2007,CT,5,200095000.0
2007,DC,1,34300000.0
2007,FL,7,116950000.0
2007,GA,1,16450000.0
2007,ID,1,1500000.0
2007,IL,3,44120000.0
2007,IN,2,17100000.0
2007,LA,1,25000.0
2007,MA,14,419955000.0
2007,MD,3,309850000.0
2007,ME,1,1050000.0
2007,MI,1,10000000.0
2007,MO,1,1250000.0
2007,NC,4,41100000.0
2007,NJ,2,4000000.0
2007,NM,1,600000.0
2007,NY,8,301380000.0
2007,OR,3,116600000.0
2007,PA,6,24400000.0
2007,RI,1,500000.0
2007,TN,1,7000000.0
2007,TX,2,132900000.0
2007,UT,3,35280000.0
2007,VA,6,75300000.0
2007,WA,4,237920000.0
2008,AZ,3,28533750.0
2008,CA,45,2984925000.0
2008,CO,3,47250000.0
2008,CT,3,7950000.0
2008,DC,2,17760000.0
2008,FL,5,87750000.0
2008,GA,1,26010000.0
2008,ID,1,4000000.0
2008,IL,3,28400000.0
2008,IN,2,6100000.0
2008,MA,7,303665000.0
2008,MD,1,13900000.0
2008,ME,1,20000.0
2008,MN,1,600000.0
2008,MO,1,5000000.0
2008,NC,4,81700000.0
2008,ND,1,570000.0
2008,NJ,4,108700000.0
2008,NM,1,5200000.0
2008,NY,5,366150000.0
2008,OH,1,22000000.0
2008,OR,1,15000000.0
2008,PA,5,11565000.0
2008,TN,1,3000000.0
2008,TX,5,58850000.0
2008,UT,3,62000000.0
2008,VA,5,118000000.0
2008,WA,5,150050000.0
